ID,sEXT,sNEU,sAGR,sCON,sOPN
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4
