Row1,Row2,Factor,Euclidean Distance
1,2,EXT,0.14999999999999988
1,3,EXT,1.9400000000000002
1,4,EXT,1.3000000000000005
1,5,EXT,0.95
1,6,EXT,1.1000000000000003
1,7,EXT,1.4499999999999997
1,8,EXT,2.4299999999999997
1,9,EXT,0.8999999999999998
1,10,EXT,0.95
1,11,EXT,2.35
1,12,EXT,2.1
1,13,EXT,2.35
1,14,EXT,1.1000000000000003
1,15,EXT,1.4499999999999997
1,16,EXT,0.05000000000000391
1,17,EXT,1.8499999999999999
1,18,EXT,0.3500000000000007
1,19,EXT,3.1
1,20,EXT,1.5500000000000005
1,21,EXT,1.4999999999999993
1,22,EXT,2.8499999999999996
1,23,EXT,0.95
1,24,EXT,0.20000000000000231
1,25,EXT,0.7000000000000007
1,26,EXT,0.05000000000000391
1,27,EXT,1.6
1,28,EXT,1.25
1,29,EXT,0.8000000000000004
1,30,EXT,1.23
1,31,EXT,0.5
1,32,EXT,1.3999999999999997
1,33,EXT,2.6
1,34,EXT,2.6999999999999997
1,35,EXT,1.3499999999999999
1,36,EXT,1.6500000000000001
1,37,EXT,0.15000000000000135
1,38,EXT,2.2
1,39,EXT,1.1000000000000003
1,40,EXT,2.6
1,41,EXT,2.4499999999999997
1,42,EXT,0.5999999999999995
1,43,EXT,0.5500000000000002
1,44,EXT,2.1
1,45,EXT,0.8500000000000001
1,46,EXT,0.5500000000000002
1,47,EXT,2.1
1,48,EXT,2.23
1,49,EXT,1.3499999999999999
1,50,EXT,1.7000000000000002
1,51,EXT,0.14999999999999988
1,52,EXT,0.8500000000000001
1,53,EXT,1.25
1,54,EXT,2.1
1,55,EXT,2.6
1,56,EXT,1.78
1,57,EXT,1.8
1,58,EXT,0.4000000000000002
1,59,EXT,1.1000000000000003
1,60,EXT,2.15
1,61,EXT,1.9
1,62,EXT,1.8499999999999999
1,63,EXT,0.6499999999999996
1,64,EXT,0.8999999999999998
1,65,EXT,1.8
1,66,EXT,2.75
1,67,EXT,0.24999999999999822
1,68,EXT,1.3000000000000005
1,69,EXT,2.0
1,70,EXT,1.8
1,71,EXT,0.5500000000000002
1,72,EXT,1.4499999999999997
1,73,EXT,2.8000000000000007
1,74,EXT,0.0
1,75,EXT,1.1000000000000003
1,76,EXT,2.2500000000000004
1,77,EXT,0.5000000000000002
1,78,EXT,2.6
1,79,EXT,1.6500000000000001
1,80,EXT,1.0
1,81,EXT,1.5500000000000005
1,82,EXT,0.48000000000000037
1,83,EXT,2.6
1,84,EXT,1.0
1,85,EXT,2.6
1,86,EXT,0.10000000000000116
1,87,EXT,1.0
1,88,EXT,0.6499999999999996
1,89,EXT,0.8500000000000001
1,90,EXT,1.3499999999999999
1,91,EXT,0.8000000000000004
1,92,EXT,1.6
1,93,EXT,1.7000000000000002
1,94,EXT,0.5
1,95,EXT,1.7000000000000002
1,96,EXT,2.3000000000000003
1,97,EXT,1.3499999999999999
1,98,EXT,0.4500000000000006
1,99,EXT,1.5500000000000005
1,100,EXT,2.2500000000000004
1,101,EXT,1.4999999999999993
1,102,EXT,0.19999999999999898
1,103,EXT,0.40000000000000074
1,104,EXT,0.3000000000000005
1,105,EXT,1.75
1,106,EXT,0.8999999999999998
